Product Type,ID,Name,Price,Quantity,Vending Location,Description,Calories,Serving Size,Ounces,Baked?,Pack Size,Sugarfree,Machine
Chips,2345,Doritos,1.5,0,A1,Doritos are wonderful triangle chips,120,1,0,FALSE,,,2
Chips,2346,Corn Chips,1.5,3,A2,Yummy corn chips,100,1,0,TRUE,,,2
Chips,2347,Flutes,1,2,B1,Classic flute snacks,100,1,0,FALSE,,,2
Chips,2348,Cheetos,1.25,5,B2,Cheesy cheeto snacks,140,1,0,FALSE,,,2
Candy,2349,Reeses,1.25,5,C1,Reeses pieces,200,1,0,FALSE,,,2
Candy,2350,Snickers,1.25,0,C2,Chocolate and nut candy bar,250,1,0,FALSE,,,2
Drink,2351,Coke,1.25,4,E1,Coca-Cola,100,1,12,FALSE,,,2
Drink,2352,Pepsi,1.25,4,E2,Pepsi,100,1,12,FALSE,,,2
Drink,2353,Green Tea,1.75,0,F1,Green Tea,100,1,16,FALSE,,,2
Drink,2354,Sprite,1.25,5,F2,Sprite,100,1,12,FALSE,,,2
Drink,2355,Root Beer,1.25,4,G1,Root Beer,120,1,12,FALSE,,,2
Gum,2356,Trident,0.75,0,G2,10 piece Trident gum,5,10,0,FALSE,Medium,TRUE,2
Gum,2357,Hubba Bubba,0.75,2,H1,Classic Hubba Bubba,8,10,0,FALSE,Small,FALSE,2
Gum,2358,Big League Chew,1.5,3,H2,From kid to adult chew,2,2,0,FALSE,Large,FALSE,2
